"paralog_pair","PC9","HeLa","PC9_fdr","HeLa_fdr"
"AADAC_AADACL2",-0.221158411766247,0.00484638188896645,0.0678937908234751,0.977358556433845
"AADACL3_AADACL4",0.00604047437307201,0.0811377630090546,0.973703268930247,0.422262565963829
"ABCC1_ABCC3",-0.223132659752152,-0.0588599001449906,0.053456717049132,0.489276015023892
"ABCC8_ABCC9",-0.0976402665608695,0.0842551432896498,0.538112769202504,0.422262565963829
"ABCD1_ABCD2",-0.0773347071074233,0.0682226844594254,0.524422919490424,0.586433903044852
"ABCG1_ABCG4",0.104032923063917,-0.00342291610621464,0.448254307264878,0.96383090677454
"ABHD4_ABHD5",-0.358546504097576,-0.108234986260617,0.0680295048357914,0.522790839457191
"ABI1_ABI2",0.0264800860485386,-0.102524449429491,0.938402596321603,0.482041861829097
"ABL1_ABL2",-0.063629044973696,-0.0306685812416815,0.842570883080272,0.797799408083842
"ACACA_ACACB",-0.189672719318612,-0.446579554699014,0.503952835705316,0.0272980483258136
"ACSL3_ACSL4",-0.763251181407614,-0.483541382370187,0.0826753242575306,0.058644287073001
"ACTA2_ACTG2",0.346673402576176,-0.030088328674622,0.0706055300026276,0.782231695610643
"ACTL6A_ACTL6B",0.579578992283435,-0.370236475222608,0.0294051347930064,0.144853919551371
"ACTL7A_ACTL7B",-0.204317891219334,0.109854340646411,0.103050152100708,0.280375722980627
"ACTRT1_ACTRT2",0.0100855747357008,-0.0626222636301461,0.959754589636087,0.452180872857588
"ACVR2A_ACVR2B",-0.363120803095918,0.0236224901225902,0.147094277075648,0.898954717503514
"ACVR1_ACVRL1",-0.249533461342878,0.0134667156663132,0.305666584330245,0.923791284802466
"ADAMTS16_ADAMTS18",0.021955108769371,-0.0203448100011583,0.887524402978211,0.866643317207099
"ADAMTS10_ADAMTS6",-0.197969952050038,-0.105210782420211,0.517556466703676,0.343615095363367
"ADAP1_ADAP2",0.248791207896414,-0.125350460806813,0.390062912385937,0.536083338174962
"ADARB1_ADARB2",-0.155698687953263,0.0332643962044751,0.508887648295832,0.679074722975485
"ADCY5_ADCY6",-0.0546484819848397,-0.197010677870029,0.800790608468367,0.172669393614728
"ADIPOR1_ADIPOR2",0.185519590100204,-0.105967840922022,0.251392443384491,0.179834790543972
"ADSS_ADSSL1",-0.171688967301361,-0.219146534498017,0.496482193616108,0.119927638660499
"AGPAT3_AGPAT4",-0.108576883254912,-0.139667657551687,0.101870454544056,0.283902289354801
"AGR2_AGR3",0.0399206473052306,0.075851341036223,0.836629524047082,0.650910205454851
"AIF1_AIF1L",-0.0369862000379886,-0.204321353841271,0.83941931326713,0.123047967749732
"AK3_AK4",0.368769505039964,-0.00531076392379042,0.151977907452009,0.973768592349738
"AKIRIN1_AKIRIN2",-0.871052626478542,-0.482888580411316,0.0107238903744314,0.0275207054853955
"AKR7A2_AKR7A3",0.132960117895897,-0.0405351831715565,0.104044532486531,0.450597325661933
"ALAS1_ALAS2",0.152257555466487,0.0483621873103154,0.496482193616108,0.706050594340199
