"paralog_pair","GI_score_RPE1","GI_score_HAP1","fdr_RPE1","fdr_HAP1","p_val_RPE1","p_val_HAP1"
"SLC16A1_SLC16A3",0.442241479500889,-0.714481238091512,0.10298076421708,1.57151369556607e-05,0.0376391682079971,1.14876732132023e-07
"MDM4_TP53",0.868649320471457,0.238408777745921,0.00380179805162808,0.0132581697857986,0.00042798019002246,0.00189956233773137
"APC_CTNNB1",-0.817567776174421,0.0942047296631,0.0636272336927506,0.687846929492219,0.0201727716935457,0.547587516003886
"BRAF_MAP2K1",0.289528030561931,0.085422128154742,0.163863748234637,0.520024258922837,0.0757031351493352,0.371011459582375
"CCNE1_CDK2",-0.0845070403998415,0.0224048073918359,0.71298441494563,0.877015967932504,0.589984179618752,0.800084742675266
"BRAF_PEA15",0.702808302679112,-0.0233405276004405,0.00056572943233816,0.884071417505112,1.68978924178488e-05,0.81343059061642
"CBFB_RUNX1",-0.192390597477767,0.302107255513173,0.519312345727153,0.016703363853439,0.375818144934124,0.00274004512298195
"SMARCA2_SMARCA4",-0.401155212450358,0.0273508559257088,0.0135733348404908,0.82224695257806,0.0023415987005525,0.722471372075167
"BRD4_KDM4C",0.681006698094649,0.218176524066893,0.109528104637642,0.18245093568478,0.0417936188748896,0.0781551522743283
"BRD4_KDM6B",0.335832237210097,-0.345020828958189,0.340814716194411,0.00528891339283559,0.208275659896584,0.000518066077953193
"SRRM1_SRRM2",0.538541220205779,-0.0972367407863721,0.230259232129113,0.723390215216267,0.118162001170576,0.591191710973528
"TRA2A_TRA2B",-1.11608232714074,0.214295528242192,0.0156060849385178,0.375299611727133,0.00292043694755889,0.226775578249614
"PAIP1_PAIP2",0.229097336612255,0.160601132352642,0.268751611456043,0.164524413268039,0.148913539096258,0.0678302405578757
"EIF4E_EIF4E2",0.525839883738793,0.298869217031992,0.103089039139621,0.183358309485771,0.0382816022536019,0.0792751375632514
"ENO1_ENO2",-0.581594807060779,0.185640500758297,0.0281264953099562,0.455748808241754,0.00686714139877585,0.30783033539136
"ENO1_ENO3",-0.189134102705238,0.22132128699482,0.523621602726195,0.681100824632015,0.380467743501343,0.540351183922446
"ENO2_ENO3",-0.75639551158306,0.0612754372270218,0.00182074905358968,0.491486454742896,0.000109138466662539,0.338435848222082
"CREBBP_EP300",0.0447284331402386,0.0441686535199478,0.926891833457818,0.754866120147926,0.878108052749512,0.631262311000897
"BCL2L1_BCL2L2",0.372220237915235,-0.0201803855494763,0.103089039139621,0.951237130816679,0.0379620322854636,0.920641784503861
"BCL2L1_MCL1",-0.179514595522829,0.420821473294406,0.52826337257224,0.575834869352017,0.386157436090819,0.430192424325849
"PARP1_PARP2",-0.00218263846016639,-0.272549426920457,0.990553111499958,0.0274831283860895,0.989104934436362,0.00538412164288889
"MAPK1_MAPK3",0.682694449392349,-0.10676717822049,0.0262317769915952,0.333871023360499,0.00590598487822465,0.189388826116774
"MDM2_TP53",0.879122200380284,0.149986729878158,0.00293609859936327,0.220178725565823,0.000257552508716076,0.103329489629575
"ABHD12_ABHD12B",0.459625512623707,0.23350736612065,0.00613470735427829,0.0478897715757268,0.000843073817693215,0.0116809545536497
"ABL1_ABL2",-0.569664259200117,-0.347530353940062,0.0658995570734257,0.0198306689610158,0.0210994195892986,0.00365301796650291
"DMWD_WDR20",0.876996004482174,0.348556081681203,0.00252198688371473,0.140140579609755,0.000195417112334621,0.0549088820693193
"HNRNPL_HNRNPLL",0.845671742716139,0.0504682319786493,0.00546707855161759,0.910320886665258,0.000701568471492045,0.85708574709419
"ACBD3_TMED8",0.538969360499063,-0.0500596739414406,0.00132308247881353,0.676295791721374,6.5767257718801e-05,0.531940257231139
"ACBD7_DBI",-0.605375994322537,-0.0963101512255616,0.0457898295095006,0.782314694321084,0.0131880064522977,0.663366261266416
"ACSL1_ACSL6",0.271562996999581,0.0256640663262655,0.339237646434736,0.848832171875694,0.203079651199933,0.756704917695431
"ACTR1A_ACTR1B",0.553894946701223,-0.0341278764179801,0.109956379612407,0.946632548836544,0.0424979379952292,0.910990286185348
"ACVR2A_ACVR2B",-0.315397399875414,-0.17075663230369,0.0924951692995216,0.398833046264659,0.0329953527910574,0.248813239819411
"ADAMTS10_ADAMTS6",-0.344996116303626,-0.0202144492592333,0.0789238301737607,0.893204062454539,0.0264341240050692,0.831828929508102
"ADAMTSL1_ADAMTSL3",-0.644451658708523,0.0270892618855569,0.00185380201670824,0.826138585064716,0.000124670895860495,0.728306384201789
"ADAP1_ADAP2",0.0588826438171784,0.225870298972884,0.824398540703036,0.0508863380405339,0.746056574115759,0.0127959797411869
"ADSS_ADSSL1",-0.321406948713841,-0.25101753810932,0.00638280442095886,0.0364580649859421,0.000933158541075857,0.00815509348369757
"AGPAT3_AGPAT4",0.627364103249541,-0.143297242070276,0.0299074656188249,0.145854727347506,0.00747686640470622,0.057945095484798
"AHCYL1_AHCYL2",-0.346601142867345,-0.0735510500019109,0.177857414469726,0.589930769318381,0.0845082744190952,0.443181503013971
"AHNAK_AHNAK2",-0.409791405830134,0.262508127500929,0.232318506803068,0.145854727347506,0.120235016678781,0.0580245607468772
"AHSA1_AHSA2",-0.576212761636168,0.139401092341737,0.109956379612407,0.644276121944518,0.0426000593527598,0.498277877936623
"AJUBA_WTIP",0.0854598361545124,0.0542414428916737,0.74537825658579,0.807461842356462,0.629866421500857,0.694133864481871
"AK1_AK5",-0.184736287033883,-0.156940654452234,0.485228822827711,0.378910791796792,0.341220853479721,0.230448668695125
"AK3_AK4",-0.195640675953543,0.0591605300594289,0.159096507664056,0.820336440040073,0.0712110189717806,0.714840852951214
"ALMS1_C10orf90",-0.19771652684349,-0.120525137451944,0.259930164149475,0.239620886719909,0.138705423851694,0.119460120426153
"AMOT_AMOTL2",-0.160369443784616,-0.336596253390234,0.341019608464176,0.0139619585832931,0.20889943851826,0.00208204645540336
"ANK2_ANK3",-0.162724952866591,-0.265434729427606,0.676531699386013,0.0760235820395933,0.543005706086142,0.0240074469598716
"ANKRD11_ANKRD12",-0.305731274605648,-0.221257606668682,0.128923332906685,0.0177807468136027,0.053603866472766,0.00319741499718295
"ANO4_ANO5",-0.456743427516784,-0.256528397023159,0.0264345184477364,0.0168549879115919,0.00599027830321512,0.00284125133880526
"ANXA5_ANXA6",-0.240374013248832,0.278337291217305,0.129403739984706,0.0112579075791243,0.0541652296914579,0.00154713934566913
"AP1B1_AP2B1",0.259428038220139,-0.655439766911977,0.151853640594444,2.39821875084715e-05,0.0670464904378978,2.10370065863785e-07
"AP1G1_AP1G2",0.788288273711507,0.157623210934462,0.0155937817466805,0.398833046264659,0.00287566011632222,0.2501452877888
"AP2A1_AP2A2",0.13866930863072,-0.769648873650572,0.599123765714696,0.0155995691723704,0.452846472038739,0.00239467070628493
"AP3B1_AP3B2",1.15975528837429,0.0168720350501577,0.00570738912327209,0.951673145488867,0.000750972253062117,0.922455110320349
"APBA2_APBA3",-0.0814142580418701,-0.381812823797484,0.815562637872287,0.0859938422769678,0.730212634252601,0.0279102821425246
"APBB2_APBB3",1.12157742528416,-0.0607352079227044,0.00213702224133075,0.707918178341659,0.000162463679165495,0.574318992469361
"APH1A_APH1B",0.110306702584101,-0.346015482256806,0.467140745808841,0.0148839859584101,0.323720341393846,0.00224130197911731
