,RPE1.T18,RPE1.T24
SLC16A1_SLC16A3,0.42622177521211707,0.4882114757267842
MDM4_TP53,3.283424884177981,3.768230331638666
APC_CTNNB1,-0.34725565857782853,-1.9205140017972369
BRAF_MAP2K1,-0.28276215268301497,0.2166856269785331
CCNE1_CDK2,0.4035680539483209,0.5490911582169341
BRAF_PEA15,1.724364480526312,1.5639878303046595
CBFB_RUNX1,-1.1516594845892814,-1.6171664069661162
SMARCA2_SMARCA4,-1.2440995384063793,-1.0176417988503084
BRD4_KDM4C,1.3781242656963164,1.1404918669569317
BRD4_KDM6B,-0.23060234980324296,-0.059130232679364715
SRRM1_SRRM2,0.6123986999925761,0.47754113591252334
TRA2A_TRA2B,-2.7960105077894766,-2.4170530091454228
PAIP1_PAIP2,0.3818199898906954,0.20189459547278224
EIF4E_EIF4E2,1.6586168678573685,1.9027258824133113
ENO1_ENO2,-1.4824345740698666,-1.915009229915546
ENO1_ENO3,0.2079547193353703,0.19439488865441365
ENO2_ENO3,-0.8289337214772622,-0.9855815576369451
CREBBP_EP300,-0.009514273614587688,-0.32527995056651227
BCL2L1_BCL2L2,0.5064710148141931,0.43789430968654636
BCL2L1_MCL1,-0.6521902517851352,-0.5596452984633676
PARP1_PARP2,0.07234459404172891,-0.4443103482088764
MAPK1_MAPK3,0.960954853683433,1.1577293137157194
MDM2_TP53,4.048295296014077,2.941186136914968
ABHD12_ABHD12B,0.9040169198347877,1.1407793040294036
ABL1_ABL2,-1.8053867834951178,-1.6552705056261703
DMWD_WDR20,0.9138387881120085,1.001105821231945
HNRNPL_HNRNPLL,-0.5378629233867832,-0.3236459780390308
ACBD3_TMED8,1.1653398009412264,1.4873842519405645
ACBD7_DBI,-1.8751851989001496,-1.734915600699199
ACSL1_ACSL6,0.1490820667493334,0.15943781482921607
ACTR1A_ACTR1B,0.3798623371589298,0.9939167130821965
ACVR2A_ACVR2B,-2.2884770943621677,-2.154066252712365
ADAMTS10_ADAMTS6,-1.3077176792727512,-1.2154995037191478
ADAMTSL1_ADAMTSL3,-1.7649632853055441,-1.708766776755241
ADAP1_ADAP2,-0.35473328973106805,-0.35940694397749334
ADSS_ADSSL1,-0.4971245106320913,-0.6768479004439123
AGPAT3_AGPAT4,1.513696307288724,1.8834703736820066
AHCYL1_AHCYL2,-1.1803564966079816,-1.2216067142750933
AHNAK_AHNAK2,-0.778538166805716,-0.2828532449816511
AHSA1_AHSA2,-0.4509580206158629,-0.43255011804810484
AJUBA_WTIP,0.2711590913374588,0.20179882616658087
AK1_AK5,-0.7519789751355376,-0.7466136561987092
AK3_AK4,0.1755819570980226,-0.010549071836430527
ALMS1_C10orf90,0.590188860172537,-0.44037676873511367
AMOT_AMOTL2,0.03507314466099812,-0.16218231934632107
ANK2_ANK3,-1.3309808974978792,-1.0647034648551552
ANKRD11_ANKRD12,-0.06639089602712449,-0.6161049614820769
ANO4_ANO5,-1.172380022824187,-1.1950994700015105
ANXA5_ANXA6,-0.4291255151518195,-0.5269269383186614
AP1B1_AP2B1,0.26103388082560547,0.5794382643355681
AP1G1_AP1G2,0.914376172476744,1.1946830132727033
AP2A1_AP2A2,-0.29672913957631875,0.030953853617014245
AP3B1_AP3B2,1.2096961149163876,1.0253026249476822
APBA2_APBA3,-0.029901557091001313,-0.08670677940767277
APBB2_APBB3,2.63059608633113,2.2861298283698455
APH1A_APH1B,0.5677931283551653,0.3162915398195562
APLP1_APLP2,2.1526800953500858,2.2156453567425625
ARAP2_ARAP3,-0.1516807085284531,-0.0651251379051883
ARF4_ARF5,-0.9256595513155905,-0.32772534434767747
ARFGEF1_ARFGEF2,-1.230072645641631,-0.9636066053068423
ARHGAP22_ARHGAP24,1.1509434683956612,1.2204688523610698
ARHGAP31_ARHGAP33,-1.2036654703208545,-1.5456203122639058
ARHGEF1_ARHGEF12,-0.27788296909303173,-0.206391640229227
ARHGEF6_ARHGEF7,0.23898581705292038,0.15116408249380642
ARHGEF37_DNMBP,-1.4726326776972627,-1.309568034585824
ARID1A_ARID1B,-0.6867822450825181,-0.6081182760717109
ARL8A_ARL8B,0.8235941335777388,0.5971629411631084
ARNT_ARNT2,-0.1049618711205659,0.08877542005213393
ARPC5_ARPC5L,0.31856062534531643,0.36855285262758203
ARPP19_ENSA,-0.8081416283267356,-0.582243015183823
ATAD2_ATAD2B,-0.35054268233071495,0.25919153695053726
ATF3_JDP2,0.5472410608883601,0.4270273139481282
ATF6_ATF6B,-0.5137251690485497,0.15536707934400137
ATG4A_ATG4B,2.3128164080407028,2.1885117808055266
ATG4C_ATG4D,0.38539750701516573,0.0353246316858907
ATG16L1_ATG16L2,1.2620976964567685,1.4932198822213305
ATP6V0A1_ATP6V0A4,-0.24206796064657432,0.9382908115988999
ATP6V0A2_TCIRG1,1.6008422697875946,1.580246816759854
ATP6V1C1_ATP6V1C2,1.9927276780929986,2.193558413625581
ATP8A1_ATP8A2,1.181394402631768,1.029337247361325
ATP9A_ATP9B,0.552494141128989,0.7278714576542035
ATRN_ATRNL1,-1.1138475278501805,-1.042783505306974
ATXN1_ATXN1L,0.03637972730295957,0.362617786035214
ATXN7_ATXN7L2,0.09163480622608032,0.7076789612403226
AUH_ECHDC2,-0.12171320380364078,0.24793832668104618
AXIN1_AXIN2,0.40670726439703553,0.8828038157479611
B4GALT5_B4GALT6,0.2534987180072142,0.9842576216615754
BACH1_BACH2,-0.9844810578054604,-1.2901333226527016
BAG3_BAG4,-0.07055089085885606,-0.26576317767559354
BAIAP3_UNC13D,0.2909418141752442,0.4656664454977506
