,HeLa
AADAC_AADACL2,-0.4654256228929902
AADACL3_AADACL4,0.6177898416482792
ABCC1_ABCC3,-0.2448480844198722
ABCC8_ABCC9,0.34828230438644
ABCD1_ABCD2,-0.03401722152497284
ABCG1_ABCG4,0.8366097840079035
ABHD4_ABHD5,-0.46420986500741007
ABI1_ABI2,-0.3558861148013597
ABL1_ABL2,0.6975452963108115
ACACA_ACACB,-1.9700765813562549
ACSL3_ACSL4,-3.0684995992040744
ACTA2_ACTG2,-0.2884282361032103
ACTL6A_ACTL6B,1.7125483033769828
ACTL7A_ACTL7B,0.4637781770911813
ACTRT1_ACTRT2,-0.43266725913199416
ACVR2A_ACVR2B,0.7907932691362901
ACVR1_ACVRL1,0.32072153748269194
ADAMTS16_ADAMTS18,-0.09744687105121491
ADAMTS10_ADAMTS6,0.2930065844857611
ADAP1_ADAP2,0.4305255820747642
ADARB1_ADARB2,0.11164715994240894
ADCY5_ADCY6,0.8993183113337435
ADIPOR1_ADIPOR2,-0.3469772993376916
ADSS_ADSSL1,-0.07714524153400035
AGPAT3_AGPAT4,-1.0668366430106373
AGR2_AGR3,0.6206605309157202
AIF1_AIF1L,-1.44351116321387
AK3_AK4,0.14980165200880818
AKIRIN1_AKIRIN2,-1.932477954716274
AKR7A2_AKR7A3,-0.32315488248928936
ALAS1_ALAS2,0.11790995355407703
ALDH1L1_ALDH1L2,0.00042772480221766327
ALG10_ALG10B,1.1450678300028707
ALG1L_ALG1L2,2.718409885673121
ALOX12_ALOX15,-0.7308431503804094
AMELX_AMELY,0.15282605106053376
AMMECR1_AMMECR1L,-0.5250695722039188
AMPD1_AMPD3,-0.49915426302153243
ANGPT1_ANGPT2,0.5466373553365601
ANGPTL1_ANGPTL2,-0.5162753517321031
ANKRD18A_ANKRD18B,1.1194436505396574
ANO1_ANO2,-0.5013579298193936
ANO3_ANO4,-0.1755496651527069
ANXA1_ANXA2,1.7494440258983748
AOC2_AOC3,1.714313369725863
AP1G1_AP1G2,-1.608718254466183
AP1M1_AP1M2,0.06598287393153407
AP2A1_AP2A2,-3.0604436249727884
AP1B1_AP2B1,-4.746214866124459
AP3B1_AP3B2,-0.10301171537666434
AP3M1_AP3M2,-1.150700955005058
AP3S1_AP3S2,-0.6898688359329589
APH1A_APH1B,-0.5720073614112019
AQP12A_AQP12B,0.3014951376833692
ARFGAP2_ARFGAP3,0.7711683356570698
ARFGEF1_ARFGEF2,-4.342348442522553
ARFIP1_ARFIP2,-0.5294701134245527
ARG1_ARG2,-0.7377387112211905
ARHGAP10_ARHGAP26,0.08163033775321625
ARHGAP35_ARHGAP5,0.7169998365635886
ARHGEF6_ARHGEF7,0.24892100259812894
ARID1A_ARID1B,-1.823124945224425
ARL8A_ARL8B,0.6954804963320084
ARNT_ARNT2,0.32559784190911734
ARPC1A_ARPC1B,-0.9234245904359756
ARPC5_ARPC5L,-0.5407389464611917
ASAP1_ASAP2,0.05017415269160654
ASB14_ASB15,-0.25278374173229934
ASF1A_ASF1B,-9.54658800798348
ASIC1_ASIC2,0.22227569057547797
ATF2_ATF7,1.5165357309136704
