,A549,HT29,OVCAR8
ABHD4_ABHD5,-0.6070156369011146,-0.03701133251369892,-0.04830191033266587
ABL1_ABL2,0.08769667030962579,0.8866626121040335,0.08035588772210263
ABR_BCR,1.8834706108292565,0.7780178424303338,1.04427447913339
ACAP2_ACAP3,2.6926696117401883,1.9991190388569995,2.080933269326101
ACTG1_ACTR1B,0.946709192696507,3.524900795345987,4.763898734818687
ACVR2A_ACVR2B,1.657736326354332,1.3572813633933363,0.5742341284898467
AGAP1_AGAP3,0.8949850526745419,0.9628318340815802,0.28068760401425913
AGAP1_AGAP9,-0.6300621281858676,0.21514153204492686,-0.22865396456468196
AKT1_AKT2,-0.15779381222044864,-0.6169264358463936,0.7266640035750934
ALG10_ALG10B,-0.22702969555619423,-0.9308249049459432,-0.5705817910199238
ANKRA2_RFXANK,-0.13871594263033668,0.7067788211092838,0.7892428201105317
ANKRD13A_ANKRD13D,-1.8006126652226477,-0.07908712366056314,-0.06437464272282589
ANXA11_ANXA7,1.6427915774150912,1.1310422863096465,0.3558667791594506
AP1B1_AP2B1,-1.135319463705073,-3.8351231430727073,-2.4820365566974174
AP2A1_AP2A2,0.30959918550947585,-0.7590469591539992,-1.1040407310139408
AP3M1_AP3M2,-0.8716050131199486,-1.3890131357563784,-0.5517956174891411
AP3S1_AP3S2,-0.00964486333800423,-0.08264193377338566,-0.019933137494517972
APPL1_APPL2,0.8861202844049758,0.8837174987645439,-0.16143086329271877
ARFGEF1_ARFGEF2,-2.342404473840832,-3.3256493538092005,-3.9132810784833825
ARFIP1_ARFIP2,0.467993193151145,0.5774838800374195,0.7481999575347179
ARHGEF3_NET1,-0.061948168097285344,0.4002760133948352,0.35313407964412247
ARID1A_ARID1B,-0.9738950095306562,-0.07680538212651827,-0.750995834904405
ARL8A_ARL8B,-2.4740407946967617,0.09348756009018055,-0.2701529813202281
ARPC1A_ARPC1B,-2.880118991878319,-2.1666056112557595,-1.629618628293247
ARPC5_ARPC5L,-1.125184089108417,-0.9814175190419885,0.2330281223286016
ARPP19_ENSA,-0.824407724220503,-0.6839937305087642,-2.474343160201107
ASAP1_ASAP2,0.8571611413134169,1.4424745108718502,0.8269494937943536
ASIC1_ASIC3,1.5957043637320143,0.7741418613404039,0.3653426080814689
ATAD2_ATAD2B,-0.08301612292479825,-0.37354418923814764,-0.011210116055927718
ATAD3A_ATAD3B,3.666579088540501,1.2763113599922205,4.686748416917891
ATF1_CREB1,0.3372160616531883,0.20004985004307427,-0.6383472953836354
ATF1_CREM,0.1220960869127509,0.32320378632883934,0.4952184522604983
ATF2_ATF7,0.9065652760548192,1.1439176917812501,0.530268271380405
ATP6V0A1_ATP6V0A2,-2.5824058081530135,-4.2575329889386095,0.4164143488114342
B4GALT1_B4GALT2,-0.10536136927141915,0.33489894529475406,0.818352023707834
BCL2L1_MCL1,0.933699164130883,-1.9947326390538676,-1.6145737272623855
BICD1_BICD2,0.18111754537582087,0.14948785471532455,0.13461848379369215
BRCA1_PARP1,0.90150374914406,0.1651585565635114,-0.6110495742770533
BRWD1_PHIP,0.7441935657472224,-0.0210916193120219,-0.20867583764538317
BTBD1_BTBD2,0.15891724707555183,-0.790659514328777,0.3549440751064898
BTN2A1_BTN2A2,1.7354913857606613,0.6216725985388827,0.013219057363597303
BTN3A1_BTN3A3,-0.06462524219120942,-0.13033889084216868,0.050405604483677424
CAMKK1_CAMKK2,0.009973287934034038,0.31299996446912787,-0.45439784849728915
CAPZA1_CAPZA2,-4.237409729055028,-4.710421318721329,-4.055396442010134
CBX3_CBX5,-1.1972496871021323,-0.7153870066795122,0.7355042253865756
CCNE1_CCNE2,-1.042697782913184,-2.5648124450134424,-4.087937027503129
CCNG1_CCNG2,0.4987860060809253,0.30033856733489284,0.23203163396316726
CCNT1_CCNT2,-2.591101382429485,-1.7052675794231598,-1.224868282087889
CCNY_CCNYL1,-0.17755601880126082,0.5877857336440506,1.0189995083141363
CDC34_UBE2R2,-0.038686801098460365,0.13799743609899612,0.16378518350825727
CDC42BPA_CDC42BPB,0.3976940304337467,0.7519939292393206,0.6420157787977837
CDH1_CDH3,-0.08720261521360072,-0.617113501050726,-0.10740308811552626
CDK3_CDK5,0.4481749523087821,-0.16169989733198945,0.4697153756064731
CHD1_CHD2,-3.7057091764110455,-1.7746512506138654,-1.4715570856088924
CHKA_CHKB,0.06184279462734881,-0.418741691525184,0.8989125920253281
CHUK_IKBKB,0.9295098675475413,1.4732614745764672,-2.3486307113714933
CISD1_CISD2,-0.9692763380647267,-1.882712614740806,-1.2094521502685767
CLSTN1_CLSTN3,1.3334210876307295,0.6185991016483259,0.28841897079597
