,A375_D14,RPE_D14,MEWO_D14,A375_D28,RPE_D28,MEWO_D28
AARS_AARS2,2.4435467766211167,0.3721166955772088,3.1334443340656035,2.5162833960296895,0.014465739864593272,0.1930082330554256
ABCB6_ABCB7,-0.12413058044996324,-0.39346183088575687,-0.17890668302029925,-0.15349381630505973,0.10032261831269744,-0.06912782260641628
ABCF1_ABCF3,0.3452251699763772,-0.47996945925262513,0.26432608046262895,-0.20661424565814182,0.04039365496501194,0.5675348561119042
ABHD12_ABHD12B,-0.01420748441665642,-0.5698134288345559,0.7372441891820454,0.39689451574416246,0.5201196358578085,-0.28715411780655953
ABL1_EGFR,0.6657797184671047,0.04860858526527468,-0.921704208500869,0.6136142293756175,-1.0877657913110532,-0.32402522389673155
ABL1_ABL2,0.14774822214344613,0.3419792969677629,-0.22538304198291012,-0.25739785615768895,0.7377504830173836,0.004179644420884559
ABTB2_BTBD11,0.3258000246641822,0.4237231212884831,1.215510235674681,0.4209314193019564,0.10735838675556215,0.7669434616772505
AC007040.11_TEX261,-0.25878437735805476,-0.16444796984673687,0.5955433496626049,0.59767576326179,0.09468154760981926,1.0779565798034025
ACACA_ACACB,-0.6130072953171707,-1.029062830340278,0.038830764094302125,-0.3538306961052692,0.5234542472030518,0.04261605614913235
ACE_CTD-2501B8.1,0.8730763978326969,0.7797182152708869,-0.09370247018490697,1.0375563238410648,-0.5795964802623554,0.8371220298731289
ACSF2_ACSF3,-0.80844869180737,-0.6463362564265481,-0.3298977912875205,-0.009375837496361098,0.3572576829394217,0.5322142383846813
ACSL3_ACSL4,0.5838346773191301,-0.12710098546218926,-0.4082216921139117,1.387309903347238,0.15437075026474842,0.5336796654361441
ADAM10_ADAM17,0.47950703197692096,0.5658269938566112,0.11225671655695775,0.3114135422618995,0.759083986980395,0.2877695112709073
ADAMTSL1_ADAMTSL3,0.02423187152790225,0.07125900584207878,1.0104752950319251,0.05475269717593576,-0.11699557662995796,0.7129960780933984
ADAP1_ADAP2,-0.6636739250934492,-0.8987119167899515,0.6895247215715334,-0.2817943045095504,-0.02835685239200031,0.08654520089283974
ADIPOR1_ADIPOR2,-0.709420651652909,-0.2248211784522337,-0.17313735043607764,-0.3800263324362062,-1.0503596458515105,-0.4242200956318847
ADSS_ADSSL1,0.7771785977142444,-0.1594529214757034,0.04674818633486608,1.2175065120091495,-0.08632843438529582,-0.4813018486874126
AFG3L2_SPG7,0.1624001164828609,-0.8878774219749233,-0.22865103596770348,1.3388359014196993,-0.3725616461933825,-0.0959185391403614
AGFG1_AGFG2,0.6176773870350116,0.2340375487633401,0.2678292662649767,-0.20797943950395847,-0.37465005000387086,0.4735049052670751
AHR_AHRR,0.3585535892685481,1.2672219807254665,-0.0891709442579053,-0.8864640474513104,0.8031130809128136,-0.8938014717426227
AK2_AK8,-0.22425788480433295,-0.07122041258963943,0.08842050407349931,-0.5972131478206933,1.0850544103185524,0.4630519711725574
AK3_AK4,2.1046998343400367,3.332845296479102,1.1007814654525165,2.0791778347536267,2.7925324798625426,1.328605614509529
AKT2_EGFR,0.6546546974724903,0.5002642192510475,-0.9704725996716583,0.6064679301636696,0.31163139720684296,-0.6572035531823875
ALAS1_ALAS2,0.047844761331776356,-0.4070834250559229,0.5056605905959902,0.15197745044637886,0.43176897440270795,0.8797794639102496
