"","A375_D14","MEWO_D14","RPE_D14","A375_D28","MEWO_D28","RPE_D28"
"ASPM:ECHDC1",0.221948217429375,0.0584777699441206,-0.122341253029171,0.482937214617986,0.24236970837642,-0.0130218012705565
"ECT2:RB1",-0.212889701980924,0.0699263877913435,-0.313887501774349,-0.517678479801199,0.0988273475961087,-1.07281673710026
"EEF1A1:EEF1A2",-2.82577104320452,-1.24438660873906,0.170633756259367,-2.67426960865686,-1.27136531982898,-0.200426169591642
"EFR3A:EFR3B",0.176062980887625,0.0585002943453605,0.202591472456081,0.334257491498293,0.0583033224462912,0.16781988998458
"EEF2:EFTUD2",1.27557065021351,0.302399354541671,0.684686011079486,2.04214706199819,0.785828226475883,1.02217477637655
"EGFR:ERBB3",0.0975741826269362,0.0321771382903232,0.36053058880832,0.027803741282033,-0.0466306453636813,0.0922085803657706
"EGFR:FGFR2",0.161028380374148,-0.180616644448105,0.724005336957338,0.264944512728518,-0.28395160823823,0.714223498953129
"EGFR:FLNA",0.0266994256010251,-0.0510911549882445,0.517242385102095,0.0276927738920986,0.0380426288057741,0.555963639063985
"EGFR:KRAS",0.142072944105832,0.18941324852754,1.03389545846121,0.17050466631948,0.308645735479905,1.4801278927995
"EGFR:NEDD9",0.0424961335532473,0.110725845914974,0.361391148561714,0.00648215090179527,0.306815004734138,0.559156893680916
"EGFR:NOTCH1",0.0771536149347097,0.0281841840337925,0.385981008748478,-0.0330416366965104,0.00724858699917952,0.439743670432461
"EGFR:PARP1",0.221450575440261,-0.0260556603206438,0.719392739746242,0.777727585319298,0.248585595766721,1.28170739937796
"EGFR:PARP2",0.141715216456397,0.0673758730435789,0.364154314295525,0.0110184374941366,0.0263361272284314,0.215192515462177
"EGFR:PIK3R1",-0.170530017440436,-0.130846216300343,-0.0914204646395309,-0.440599745005038,-0.222323953294892,-0.070714788544084
"EGFR:PIK3R2",0.184821433916276,0.0254937697411784,0.601585076288549,0.189014743565033,0.014832013735171,0.829370995628394
"EGFR:PRKACB",-0.0645991852460183,0.0923734666144581,0.0375232405745075,-0.0505724598529802,0.057823162915885,0.141208519057584
"EGFR:PRKCD",0.0497293180012329,-0.0241892045347208,0.31863421684785,-0.0464239404902652,-0.0193171349595138,0.436576137569016
"EGFR:PRKCE",0.217737821268985,0.0190261256233158,0.771282233754587,0.0936966542943116,0.125140269815139,1.29891754549389
"EGFR:PRKCZ",0.177211079233405,0.0543004175236973,0.384195332301501,0.133707925150567,0.142965303793738,0.345572981252609
"EGFR:RET",0.000673378029458216,0.0120423791952681,-0.0126941224777376,-0.0524092717195627,0.0709224383226738,0.136579523581843
"EGFR:RPS6KA5",0.12698229980065,-0.041374890951081,0.226710206263083,0.0795291193343266,-0.0648616372337563,0.663404167194291
"EGFR:SH2D3C",0.419043233840395,0.0532273007392757,0.719224398517405,0.405263236373758,-0.0152526212573408,0.78964157858749
"EGFR:SHC1",0.293027966269192,-0.0403000729700322,0.455003976352245,0.302277441812531,-0.0431242585046921,0.510338726251872
"EGFR:SMAD2",-0.0672334176663787,0.0323275519775705,0.119587173130245,-0.080013186885878,-0.05330377366818,0.178463600722756
"EGFR:STAT3",-0.149835358748565,-0.0335169457315895,0.31312131270763,-0.273886025240772,-0.0752832017005706,0.29391992925481
"EHBP1:EHBP1L1",0.344074869657555,0.0669751104884938,0.480190781950323,0.394459819251583,0.0647316998711959,0.48330365464921
"EHMT1:EHMT2",0.278050063699721,0.216848477499601,0.676690423228384,0.645478054683899,-0.193827389064952,0.569497533957232
"EIF1:EIF1B",1.48152749192136,0.7687248097279,1.17762734355656,2.05351289839147,1.33504164041451,1.21062509364104
"CYP11B1:EIF2S1",0.294655821499468,0.0866410427476165,0.251479177994805,0.490903188105538,0.335060444657751,0.732205968818682
"EIF3I:STRAP",-0.205643945730014,0.229607771705992,0.25374174813882,-0.420074306063736,0.15003751800373,-0.719181082189595
"EIF4EBP1:MYC",0.0346277192927973,-0.229702305212023,-0.173773901950166,-0.321496460905851,-0.47275772926119,-0.588231172369663
"ELL:ELL2",0.513846570158291,0.299979899711888,1.06317812346283,0.948866506188704,0.610093195240196,1.21310448262726
"CHRNA5:ELMOD3",0.387648940709219,0.00958894060370813,0.554116822187642,0.340258016563373,0.160396863456975,0.384925856063903
"EN1:EN2",0.186677747766772,-0.221143084922126,0.594929002046152,0.0940855498804696,-0.310814055994948,0.611991109718836
"ENO1:ENO2",0.551341001116017,0.00687318401535733,0.88985602089906,1.21874588335186,0.322993118729296,1.25599758414902
"ADAMTS20:ENOSF1",0.19026398130394,-0.136908361094175,0.426833682168436,0.0863545924231036,-0.260937366340998,0.371758638093143
"ENOX1:ENOX2",-0.0262769690687875,-0.0438956675302436,0.164770318812696,-0.0346166336039763,0.0260464789246511,0.102585117785527
"ASPM:EPAS1",0.41075231177791,0.124469445050814,0.0820578850789602,0.580448730134604,0.22065610635879,0.185380285688358
"CCNA2:EPAS1",0.297294642251084,0.44123679919061,0.84008084658749,-0.68983525498838,0.532516649087389,0.201941092955104
"CDC25C:EPAS1",0.226151008102356,-0.00815062087736057,0.484693435932655,0.15948293369014,-0.0011400029480137,0.548470431007369
"CDT1:EPAS1",1.73066300565083,1.55846698849914,1.68865376155034,0.806014460275569,1.76820019208996,1.42778585250685
"EPC1:EPC2",0.447699341387729,0.305111349205673,0.520599536692829,0.56385928610863,0.393298414181973,-0.380248459067131
"ERC1:ERC2",0.1087647306973,0.017196713039369,0.450694484502051,0.145808395927655,0.0970127614682671,0.312598764841092
"ERLEC1:OS9",0.136255156258577,-0.187984370152431,0.301554277343222,0.16518233616276,-0.115842482482103,0.48164683914857
"ERO1A:ERO1B",0.0545267645330165,0.0410736834203385,0.228164571556677,0.0435233494245669,0.0771777391090286,0.397448522251698
"ESPN:ESPNL",0.291400490352547,-0.0235203623385846,0.642506149756723,0.496383052072994,0.1234595055955,0.858312653144404
"ESRP1:ESRP2",0.294590302078877,0.144438274564509,0.846283647619785,0.310958187547153,0.105114756754365,0.735748331714207
"ASPM:ETFB",0.249826002575721,-0.0129457872283362,-0.0423650810311728,0.422066243379747,0.206761027595928,-0.0722604309214445
"ETV6:ETV7",-0.00414393994422468,-0.0645034962518027,0.490895737869318,0.0284467907048732,-0.0838799487037205,0.554691717525079
