gene_pair,SL_score,standard_error,Gene 1,Gene 2
ARHGAP20|TAGAP,-0.021537686944972104,0.003753473181166324,ARHGAP20,TAGAP
ARHGAP35|ARHGAP5,0.0753508251015634,0.009480455075434263,ARHGAP35,ARHGAP5
ARHGEF10|ASPM,-0.050617933856875234,0.005708788453943559,ARHGEF10,ASPM
ARHGEF10|EXO1,-0.04389861700017855,0.00437475660524096,ARHGEF10,EXO1
ARHGEF11|ARHGEF12,-0.05757739662001974,0.010355643428647105,ARHGEF11,ARHGEF12
ARHGEF2|TP53,0.19555853880207522,0.010128875259614976,ARHGEF2,TP53
ARHGEF3|NET1,-0.0277213228761192,0.002940572291112116,ARHGEF3,NET1
ARHGEF6|ARHGEF7,-0.02527704361161661,0.004734477088108218,ARHGEF6,ARHGEF7
ARID1A|ARID1B,-0.0397749905475353,0.0057980463527025645,ARID1A,ARID1B
ARID4A|ARID4B,-0.05452854098189872,0.008656673295729757,ARID4A,ARID4B
ARL6IP5|ASPM,-0.0318862284026561,0.003927706662948803,ARL6IP5,ASPM
ARL6IP5|PRAF2,-0.036370410012093936,0.005122002393772395,ARL6IP5,PRAF2
ARNTL2|DCTPP1,-0.047525419549458686,0.006193315248132923,ARNTL2,DCTPP1
ARNTL2|TYMS,-0.04247377634252596,0.00891153076584528,ARNTL2,TYMS
ARPC1A|ARPC1B,-0.05605049478710187,0.006859895978997182,ARPC1A,ARPC1B
ARPC1B|ASPM,-0.05717988264371932,0.0057988554830477,ARPC1B,ASPM
ARPC1B|BRIP1,-0.02720782038432487,0.006256442546202838,ARPC1B,BRIP1
ARPC1B|CDC25C,-0.041551693934680826,0.004903706004599039,ARPC1B,CDC25C
ARPC1B|CDT1,-0.020131372306921243,0.005741322838218354,ARPC1B,CDT1
ARPC1B|CENPE,0.003718916866646694,0.007704624756617653,ARPC1B,CENPE
ARPC1B|CENPQ,-0.0425905921696465,0.006521427225579993,ARPC1B,CENPQ
ARPC1B|EXO1,-0.05064358311005071,0.006576339576931813,ARPC1B,EXO1
ARPC1B|KIF15,-0.04516738464639764,0.005395943856162509,ARPC1B,KIF15
ARPC1B|L2HGDH,-0.042150827639922415,0.006344176634849782,ARPC1B,L2HGDH
ARPC1B|MND1,-0.0524991052065687,0.006977323659742701,ARPC1B,MND1
ARPC1B|VRK1,-0.037294177614747744,0.0065334285933094,ARPC1B,VRK1
ARPC5|ARPC5L,-0.053853772917682986,0.007497183548112937,ARPC5,ARPC5L
ARRDC2|IQGAP3,-0.05272783102280661,0.005482245255567101,ARRDC2,IQGAP3
ASAH2|ASAH2B,-0.02139770994300072,0.00597995087650659,ASAH2,ASAH2B
ASCC3|SNRNP200,-0.06344881774327382,0.010475799595323628,ASCC3,SNRNP200
ASF1A|ASF1B,-0.09111186869811799,0.006388349923534681,ASF1A,ASF1B
ASPM|CASKIN1,-0.02338432027672892,0.006215848786516601,ASPM,CASKIN1
ASPM|CCND1,0.004359083271548673,0.006170088070500885,ASPM,CCND1
ASPM|CPPED1,-0.033429658078107,0.008178749763509918,ASPM,CPPED1
ASPM|CYB5A,-0.02759701822057744,0.006559508210293781,ASPM,CYB5A
ASPM|DBNDD2,-0.03570169874023642,0.00538190535386898,ASPM,DBNDD2
ASPM|DCP1B,-0.030436395423448368,0.005626078145969636,ASPM,DCP1B
ASPM|DNASE1L3,-0.031986658007868284,0.005521143307885204,ASPM,DNASE1L3
ASPM|DPP7,-0.03270289798937918,0.005093133986335431,ASPM,DPP7
ASPM|EAF1,-0.0025405935278193926,0.0064151731530384185,ASPM,EAF1
ASPM|ECHDC1,-0.03734839699959529,0.007306171015503436,ASPM,ECHDC1
ASPM|EPAS1,-0.028662887168122486,0.007285074522770574,ASPM,EPAS1
ASPM|ETFB,-0.025812430750906046,0.004856558385395815,ASPM,ETFB
ASPM|FANCM,-0.018244093836273966,0.005316713192771423,ASPM,FANCM
ASPM|FXYD5,-0.02974862081565839,0.005062546338763441,ASPM,FXYD5
ASPM|GNB5,-0.040064492256238884,0.005945604156195505,ASPM,GNB5
ASPM|INPP5K,-0.028681655168917564,0.006610658267023423,ASPM,INPP5K
ASPM|IVD,-0.0304538304741253,0.005056082438769795,ASPM,IVD
ASPM|LAMB2,-0.02911811793249943,0.005119682419318518,ASPM,LAMB2
ASPM|LYSMD2,-0.037410867060452054,0.005711122178358105,ASPM,LYSMD2
ASPM|MLH1,-0.03304098307161164,0.004888888286144081,ASPM,MLH1
ASPM|MLKL,-0.03496899082135388,0.005830991684350582,ASPM,MLKL
ASPM|MOCS1,-0.02679358933345805,0.00447778986804277,ASPM,MOCS1
ASPM|MVP,-0.035043127577856555,0.005542125551464583,ASPM,MVP
ASPM|MYD88,-0.025553989304045045,0.005537533431225149,ASPM,MYD88
ASPM|NAGPA,-0.02881129647881956,0.005636535689893984,ASPM,NAGPA
ASPM|NCEH1,-0.02404066422276365,0.005496768267111111,ASPM,NCEH1
ASPM|NEK6,-0.030866002512263558,0.0058628080223219895,ASPM,NEK6
ASPM|NME3,-0.029568838685662,0.004075362283561404,ASPM,NME3
ASPM|NNT,-0.018319919333094584,0.006025012997788285,ASPM,NNT
ASPM|NPDC1,-0.024917088476017,0.006024818489350962,ASPM,NPDC1
ASPM|OSBPL10,-0.03834260162668524,0.0052845722310075754,ASPM,OSBPL10
ASPM|OXCT1,-0.033430143538521154,0.005862141847668711,ASPM,OXCT1
ASPM|PAM,-0.02203614273083028,0.006353254935567175,ASPM,PAM
ASPM|PARP3,-0.03652237015729126,0.00531630130654486,ASPM,PARP3
ASPM|PHF11,-0.027874198968977356,0.004883966235535022,ASPM,PHF11
