gene_pair,HAP1_SL_score,HAP1_standard_error,RPE1_SL_score,RPE1_standard_error
AAAS|AAAS,-0.00879965034552057,0.008091802483846694,-0.004401154808620669,0.01069351571559445
AACS|AACS,0.010963698268410349,0.006036580029420952,-0.024235366348175497,0.005064991333995814
AAGAB|AAGAB,-0.008484088021299602,0.004177732575798853,0.0030776269257776294,0.0034109156714979424
AAMDC|AAMDC,0.004761334947171336,0.002694516209476388,-0.011799847971480162,0.010413777650590263
AAMP|AAMP,-0.0017247323466163128,0.004386777761735672,-0.0068893030777196955,0.0179641444380193
AAR2|AAR2,0.00016401842309512736,0.004429872395894239,-0.002174901033417588,0.007344746558469077
AARS|AARS,-0.004554564038521003,0.013934775540667032,-0.0006342939488996474,0.01617773815134678
AASDHPPT|AASDHPPT,-0.0027787930238891167,0.009711661255628732,-0.006806010108849511,0.011012933246214694
AASS|AASS,-0.001515785153866494,0.001977874212359711,0.008035224551268363,0.003224766612491908
AATF|AATF,-0.00021172225958044724,0.005764199743802801,-0.0215598116402022,0.00919074256223249
ABCA2|ABCA2,-0.0010669991864508306,0.010030654978987745,-0.010085791567013407,0.011761455614850739
ABCA3|ABCA3,0.011506028991033387,0.017416775659949948,0.0020903606159588316,0.0060000271678749975
ABCB10|ABCB10,0.0012822423174903969,0.00555818092732776,-0.0025321769611809253,0.01357666696345766
ABCB7|ABCB7,-0.0062577587191614825,0.006554485948289023,-0.008076271884972723,0.010736432033228138
ABCC1|ABCC1,-0.0010842642769733617,0.01020690463136781,0.0336563084038193,0.02538660705515506
ABCC5|ABCC5,0.02974265330557317,0.015657971934906933,0.0027030284969354924,0.004543276884857844
ABCD3|ABCD3,-0.006347264680708408,0.003659852087462863,-0.0009060229660093009,0.0030866546801672
ABCD4|ABCD4,-0.005733714020019457,0.005891026934767477,0.004771306807388687,0.006570238632659929
ABCE1|ABCE1,0.00017263061101929536,0.010217841198311192,-9.615389956076313e-05,0.009589006611469454
ABCF1|ABCF1,-0.00013828022185520308,0.008841333506085099,-0.0036057269906875715,0.00512136028270712
ABCF2|ABCF2,-0.0007020571374800657,0.006004023647413782,0.0012493289456863774,0.010518369838939641
ABCF3|ABCF3,0.016527762070936133,0.01236202984488063,-0.011443616818310026,0.013628176046918775
ABHD10|ABHD10,0.0077786581415809795,0.008094421959183688,0.009526154494452412,0.009838562774591025
ABHD12|ABHD12B,0.004239947255495269,0.003983364788823735,-8.009346413045242e-05,0.003399436363405272
ABHD14B|ABHD14B,0.006521952727595496,0.005463119073039306,0.0030727372324176883,0.0046973217970949915
ABHD17B|ABHD17B,-0.003565397660346871,0.005303746947085612,-0.0022495024692936456,0.0025122411407434756
ABHD17C|ABHD17C,-0.007574356848108928,0.007346028430659527,-0.005049616443940485,0.004084101468957105
