index,A549,GI1,HS936T,HS944T,HSC5,IPC298,MEL202,MELJUSO,MEWO,PATU8988S,PK1
A3GALT2_ABO,-0.0117635545869722,0.0008306962475998,-0.0060339379239051,-0.0020340628229485,-0.0077828718495074,-0.002451419960293,-0.001361840819533,-0.0009060728831783,-0.0061164094451935,-0.0001470039798972,-0.0063981318629776
A3GALT2_GBGT1,-0.0079533390666224,-0.0010078011808077,0.0065176894625197,0.0044414852292289,-0.0034165228849746,0.011649723130804,-0.0040184458684403,-0.0019671275782785,-0.0021585580967427,-0.0031360549787263,0.0026765339487844
A3GALT2_GLT6D1,0.0040696540712664,0.0041037868608882,0.0053697701460311,-0.0008000453800086,0.0039086333356745,0.0014302028146233,0.002717052046698,0.002317372194021,0.0015221954675726,-0.0017561915772374,0.0025924476828658
AADACL2_AADACL3,0.0030155371275264,0.000504782768316,0.0054005110554139,0.0011861180603435,0.0023565696036764,0.0101447737445659,-0.0023864627965055,0.0024325102354004,0.0040831815354763,0.0034169960885085,0.0051207656381072
AADACL2_AADACL4,-0.001380831696002,-0.0024337509169363,0.005298254682649,-0.0002386292893856,0.0029177172941333,0.0070687970033503,-0.0015616986235661,0.0019047370830014,-0.0031280184747803,-0.0022974188330354,-0.0003450940909654
AADACL2_NCEH1,0.0017592100099277,-0.0062400053975507,0.0032759556885408,0.0017945090227621,0.002927245519231,-0.0009518185873041,-0.0007615919131913,0.0004178286677922,0.001109963353217,0.0008092537714184,-0.0008606269382077
AADACL3_AADACL4,0.0032922839258224,0.0014344711854236,0.0067074159015892,0.0083026999210199,0.0019668465796158,0.0075248548468376,0.0023692086336923,0.0013326643069166,-0.00288183341387,0.0032793306208552,0.0021073809001614
AADAC_AADACL2,0.0005266368748739,-0.0008420660710295,0.0011562809661877,-0.0067756981631939,-0.0014402946109121,-0.0189744418639583,0.002708294941426,0.0033021069384194,0.0023435691154407,-0.0004597361801513,-0.0032156983210202
AADAC_AADACL3,-0.0050840393206159,0.0067029466334812,5.11858419516904e-07,0.0017959155933421,-0.004341856458761,-0.0002661921044209,-0.0010526326072029,-0.0007467250565472,0.0032083787281606,0.0021533489458264,0.0013083135870185
AADAC_AADACL4,0.0001259755324149,0.0013033951976281,-0.0072969952741556,-0.0045734128663541,-0.0040540217238082,-0.0071283104066526,-0.0014988861933935,-0.0043241746346499,-0.0059662558453593,-0.0021300145993698,-0.0104985471541094
AADAC_NCEH1,-0.00233364760028,0.0008837429846526,-0.0141115962861074,-0.0013888693652372,-0.0009408838190861,0.0024098502154699,0.0020911635150138,-0.0043761890611744,0.0012360262946249,-0.0043185865810905,0.0060319235409794
AAK1_BMP2K,2.85009752460775e-05,-4.61262551227136e-05,-2.94504795555006e-05,2.27838634307744e-05,1.1227504389242e-05,0.0001247068340694,-7.04338591293334e-06,-2.02619485382971e-06,1.02200387689624e-05,-3.96754934920133e-05,8.18193982236716e-06
